1789130186663, 559855, 0, 0, 0
1789130186663, 239983, 1, 0, 0
1789130187663, 560128, 0, 0, 0
1789130187663, 240000, 1, 0, 0
1789130188663, 560000, 0, 0, 0
1789130188663, 240064, 1, 0, 0
1789130189663, 560000, 0, 0, 0
1789130189663, 239872, 1, 0, 0
1789130190663, 560256, 0, 0, 0
1789130190663, 240064, 1, 0, 0
1789130191663, 544000, 0, 0, 0
1789130191663, 228416, 1, 0, 0
1789130192663, 576064, 0, 0, 0
1789130192663, 251776, 1, 0, 0
1789130193663, 559936, 0, 0, 0
1789130193663, 240000, 1, 0, 0
1789130194663, 560064, 0, 0, 0
1789130194663, 239936, 1, 0, 0
1789130195664, 560064, 0, 0, 0
1789130195664, 240064, 1, 0, 0
1789130196663, 560176, 0, 0, 0
1789130196663, 239983, 1, 0, 0
1789130197663, 559744, 0, 0, 0
1789130197663, 240000, 1, 0, 0
1789130198663, 560256, 0, 0, 0
1789130198663, 240064, 1, 0, 0
1789130199663, 560128, 0, 0, 0
1789130199663, 239936, 1, 0, 0
1789130200663, 559616, 0, 0, 0
1789130200663, 239744, 1, 0, 0
1789130201663, 529152, 0, 0, 0
1789130201663, 226048, 1, 0, 0
1789130202663, 535744, 0, 0, 0
1789130202663, 235776, 1, 0, 0
1789130203663, 615424, 0, 0, 0
1789130203663, 258560, 1, 0, 0
1789130204663, 560192, 0, 0, 0
1789130204663, 240000, 1, 0, 0
1789130205663, 560000, 0, 0, 0
1789130205663, 240128, 1, 0, 0
1789130206663, 560192, 0, 0, 0
1789130206663, 240000, 1, 0, 0
1789130207664, 559936, 0, 0, 0
1789130207664, 240000, 1, 0, 0
1789130208663, 560176, 0, 0, 0
1789130208663, 239983, 1, 0, 0
1789130209663, 560000, 0, 0, 0
1789130209663, 240000, 1, 0, 0
1789130210663, 559808, 0, 0, 0
1789130210663, 240000, 1, 0, 0
1789130211663, 560064, 0, 0, 0
1789130211663, 239936, 1, 0, 0
1789130212663, 558400, 0, 0, 0
1789130212663, 239232, 1, 0, 0
1789130213663, 477184, 0, 0, 0
1789130213663, 202496, 1, 0, 0
1789130214663, 142272, 0, 0, 0
1789130214663, 59968, 1, 0, 0
1789130235566, 6, 1, 0, 0
1789130236566, 296320, 0, 0, 0
1789130236566, 122496, 1, 0, 0
1789130237567, 343296, 0, 0, 0
1789130237567, 144064, 1, 0, 0
1789130238567, 339200, 0, 0, 0
1789130238567, 145472, 1, 0, 0
1789130239567, 367424, 0, 0, 0
1789130239567, 155072, 1, 0, 0
1789130240567, 383168, 0, 0, 0
1789130240567, 152256, 1, 0, 0
1789130241567, 577600, 0, 0, 0
1789130241567, 252352, 1, 0, 0
1789130242567, 779968, 0, 0, 0
1789130242567, 323264, 1, 0, 0
1789130243567, 827968, 0, 0, 0
1789130243567, 356480, 1, 0, 0
1789130244567, 848512, 0, 0, 0
1789130244567, 363008, 1, 0, 0
1789130245567, 875392, 0, 0, 0
1789130245567, 369408, 1, 0, 0
1789130246568, 876992, 0, 0, 0
1789130246568, 382464, 1, 0, 0
1789130247568, 712576, 0, 0, 0
1789130247568, 306432, 1, 0, 0
1789130248568, 639808, 0, 0, 0
1789130248568, 278400, 1, 0, 0
1789130249568, 739904, 0, 0, 0
1789130249568, 304704, 1, 0, 0
1789130250568, 697472, 0, 0, 0
1789130250568, 294016, 1, 0, 0
1789130251568, 968384, 0, 0, 0
1789130251568, 415744, 1, 0, 0
1789130252568, 982464, 0, 0, 0
1789130252568, 425344, 1, 0, 0
1789130253569, 938688, 0, 0, 0
1789130253569, 399232, 1, 0, 0
1789130254569, 951808, 0, 0, 0
1789130254569, 404160, 1, 0, 0
1789130255569, 959936, 0, 0, 0
1789130255569, 410048, 1, 0, 0
1789130256569, 658688, 0, 0, 0
1789130256569, 280320, 1, 0, 0
1789130257569, 569024, 0, 0, 0
1789130257569, 251136, 1, 0, 0
1789130258569, 664320, 0, 0, 0
1789130258569, 280640, 1, 0, 0
1789130259569, 906176, 0, 0, 0
1789130259569, 377728, 1, 0, 0
1789130260570, 949504, 0, 0, 0
1789130260570, 409664, 1, 0, 0
1789130261570, 953536, 0, 0, 0
1789130261570, 410112, 1, 0, 0
1789130262570, 956544, 0, 0, 0
1789130262570, 411712, 1, 0, 0
1789130263570, 962560, 0, 0, 0
1789130263570, 417728, 1, 0, 0
1789130264570, 984704, 0, 0, 0
1789130264570, 422912, 1, 0, 0
1789130265570, 806080, 0, 0, 0
1789130265570, 339584, 1, 0, 0
1789130266570, 696640, 0, 0, 0
1789130266570, 301952, 1, 0, 0
1789130267570, 711360, 0, 0, 0
1789130267570, 301248, 1, 0, 0
1789130268570, 687808, 0, 0, 0
1789130268570, 298176, 1, 0, 0
1789130269570, 649088, 0, 0, 0
1789130269570, 278080, 1, 0, 0
1789130270570, 891456, 0, 0, 0
1789130270570, 377216, 1, 0, 0
1789130271571, 753536, 0, 0, 0
1789130271571, 317312, 1, 0, 0
1789130272571, 1004608, 0, 0, 0
1789130272571, 425408, 1, 0, 0
1789130273571, 1008000, 0, 0, 0
1789130273571, 423552, 1, 0, 0
1789130274571, 804544, 0, 0, 0
1789130274571, 340096, 1, 0, 0
1789130275571, 718784, 0, 0, 0
1789130275571, 307456, 1, 0, 0
1789130276572, 685312, 0, 0, 0
1789130276572, 294720, 1, 0, 0
1789130277572, 672704, 0, 0, 0
1789130277572, 300480, 1, 0, 0
1789130278572, 784832, 0, 0, 0
1789130278572, 334784, 1, 0, 0
1789130279572, 922880, 0, 0, 0
