1789130186663, 8747, 0, 0, 0
1789130186663, 3749, 1, 0, 0
1789130187663, 8752, 0, 0, 0
1789130187663, 3750, 1, 0, 0
1789130188663, 8750, 0, 0, 0
1789130188663, 3751, 1, 0, 0
1789130189663, 8750, 0, 0, 0
1789130189663, 3748, 1, 0, 0
1789130190663, 8754, 0, 0, 0
1789130190663, 3751, 1, 0, 0
1789130191663, 8500, 0, 0, 0
1789130191663, 3569, 1, 0, 0
1789130192663, 9001, 0, 0, 0
1789130192663, 3934, 1, 0, 0
1789130193663, 8749, 0, 0, 0
1789130193663, 3750, 1, 0, 0
1789130194663, 8751, 0, 0, 0
1789130194663, 3749, 1, 0, 0
1789130195664, 8751, 0, 0, 0
1789130195664, 3751, 1, 0, 0
1789130196663, 8752, 0, 0, 0
1789130196663, 3749, 1, 0, 0
1789130197663, 8746, 0, 0, 0
1789130197663, 3750, 1, 0, 0
1789130198663, 8754, 0, 0, 0
1789130198663, 3751, 1, 0, 0
1789130199663, 8752, 0, 0, 0
1789130199663, 3749, 1, 0, 0
1789130200663, 8744, 0, 0, 0
1789130200663, 3746, 1, 0, 0
1789130201663, 8268, 0, 0, 0
1789130201663, 3532, 1, 0, 0
1789130202663, 8371, 0, 0, 0
1789130202663, 3684, 1, 0, 0
1789130203663, 9616, 0, 0, 0
1789130203663, 4040, 1, 0, 0
1789130204663, 8753, 0, 0, 0
1789130204663, 3750, 1, 0, 0
1789130205663, 8750, 0, 0, 0
1789130205663, 3752, 1, 0, 0
1789130206663, 8753, 0, 0, 0
1789130206663, 3750, 1, 0, 0
1789130207664, 8749, 0, 0, 0
1789130207664, 3750, 1, 0, 0
1789130208663, 8752, 0, 0, 0
1789130208663, 3750, 1, 0, 0
1789130209663, 8750, 0, 0, 0
1789130209663, 3750, 1, 0, 0
1789130210663, 8747, 0, 0, 0
1789130210663, 3750, 1, 0, 0
1789130211663, 8751, 0, 0, 0
1789130211663, 3749, 1, 0, 0
1789130212663, 8725, 0, 0, 0
1789130212663, 3738, 1, 0, 0
1789130213663, 7456, 0, 0, 0
1789130213663, 3164, 1, 0, 0
1789130214663, 2223, 0, 0, 0
1789130214663, 937, 1, 0, 0
