ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788781529,nifi-0,66540507890,91705360696,0,0,0,0,16445,8622022981,10485760,17721720832,33554432,2659993928,885
1788781531,nifi-1,73951937126,103685096227,0,0,0,0,23017,12067814706,16252928,19251855360,47972352,1751582896,1128
1788781534,nifi-2,52990462680,75484785241,0,0,0,0,16389,8592663022,11796480,20154679296,99876864,2682254184,874
1788781545,nifi-0,67912077993,93517366766,0,0,0,0,16371,8583225240,20447232,25024528384,46399488,666959888,911
1788781547,nifi-1,69627008844,97394505113,0,0,0,0,20885,10949977648,8126464,25769541632,58458112,196096192,1170
1788781549,nifi-2,44463234258,63822103147,0,0,0,0,16360,8577457981,7340032,25769803776,109576192,1329907800,914
1788781561,nifi-0,67266673862,92420534651,0,0,0,0,16337,8565400488,9699328,18206949376,50331648,289619288,981
1788781564,nifi-1,64180073887,89264129128,0,0,0,0,20899,10957317992,18874368,20238041088,60817408,1282607184,1220
1788781566,nifi-2,38235114913,54028670910,0,0,0,0,16360,8577457981,6291456,9844817920,109576192,194318256,963
1788781578,nifi-0,74726952115,102408066145,0,0,0,0,16404,8600527914,13631488,21995978752,62914560,1710501688,994
1788781581,nifi-1,69871361190,96915346103,0,0,0,0,20839,10925859919,11534336,19887030272,70516736,2015103904,1255
1788781583,nifi-2,43503765547,61709177059,0,0,0,0,20176,10578241219,7864320,17230462976,114819072,1391794112,980
1788781595,nifi-0,83238454679,113740449230,0,0,0,0,16361,8577983127,11796480,20500447232,81526784,1619001344,1025
1788781597,nifi-1,76869704626,106619189195,0,0,0,0,22913,12013286622,10485760,19471269888,86769664,2213781000,1296
1788781599,nifi-2,50945219092,71027766192,0,0,0,0,16456,8627789824,14417920,22888579072,33292288,2114020032,1000
1788781611,nifi-0,89597700923,122280891244,0,0,0,0,16435,8616781154,10747904,25769541632,91488256,829713744,1053
1788781612,nifi-1,81638770689,112699093662,0,0,0,0,21086,11055362565,9175040,25380519936,95944704,1930383704,1313
1788781613,nifi-2,53209675007,74047253026,0,0,0,0,16356,8575361193,8388608,25769541632,55574528,2695102144,1021
1788781625,nifi-0,90831380695,123955003551,0,0,0,0,16491,8646141425,7602176,12618039296,84410368,1580494160,1053
1788781627,nifi-1,84606817486,116974264114,0,0,0,0,22641,11870672993,17825792,19066781696,99352576,2165303592,1328
1788781629,nifi-2,58731088656,81476163322,0,0,0,0,16375,8585323029,9175040,21684813824,61341696,1345303616,1076
1788781641,nifi-0,98740967069,134727398562,0,0,0,0,17865,9366550083,18874368,21949317120,94109696,1032182656,1081
1788781643,nifi-1,91091355497,125860202053,0,0,0,0,23952,12558048062,14942208,24016322560,98828288,888938624,1360
1788781646,nifi-2,66151520254,91503014583,0,0,0,0,16523,8662918719,6815744,24405868544,59768832,2167584072,1116
1788781658,nifi-0,103293475382,141199438434,0,0,0,0,17552,9202441777,10747904,21494497280,103809024,1798725272,1093
1788781659,nifi-1,92786438752,127890871761,0,0,0,0,22419,11754276949,10485760,25769803776,101449728,2449580320,1395
1788781661,nifi-2,70609100433,98745723287,0,0,0,0,18593,9748247633,7602176,17421303808,66060288,1447577360,1163
1788781673,nifi-0,106662124543,145574804275,0,0,0,0,16492,8646664439,9699328,21909733376,107216896,887572584,1104
1788781674,nifi-1,92789584480,127956932127,0,0,0,0,22539,11817191587,8912896,15810428928,103809024,2484232560,1409
1788781676,nifi-2,74320591488,104114056735,0,0,0,0,21202,11116186460,9961472,16138371072,71041024,1455389712,1181
1788781687,nifi-0,112424234198,152165431827,0,0,0,0,16516,8659247312,7077888,19135725568,117702656,2527706144,1119
1788781689,nifi-1,95591510540,130266096848,0,0,0,0,21969,11518336754,20185088,20450115584,111411200,310221704,1438
1788781690,nifi-2,73333879249,102456231767,0,0,0,0,20180,10580334315,8912896,12671778816,75497472,245893008,1199
1788781703,nifi-0,107027654705,143528618945,0,0,0,0,16394,8595285190,17301504,21201420288,123207680,1620125168,1135
1788781705,nifi-1,97031762657,132204458458,0,0,0,0,23706,12429065219,9437184,24857542656,118751232,2019806320,1454
1788781707,nifi-2,69746085738,97054312934,0,0,0,0,23367,12251331392,10223616,19759104000,82313216,983449024,1215
1788781720,nifi-0,106807450456,143172094356,0,0,0,0,16373,8584275441,22020096,25206980608,145227776,1823123224,1163
1788781722,nifi-1,90162916394,122776916650,0,0,0,0,21950,11508372058,11534336,18116509696,122421248,820206656,1473
1788781724,nifi-2,68608878858,94060049696,0,0,0,0,24613,12904618966,9961472,22131245056,92536832,1128441064,1239
1788781736,nifi-0,101265226636,137813201262,0,0,0,0,18139,9510215356,9175040,24038342656,153878528,1916475112,1197
1788781738,nifi-1,88687559471,120189508414,0,0,0,0,22370,11728582118,12845056,20085473280,142082048,885563696,1508
1788781741,nifi-2,63495363938,87237228873,0,0,0,0,24486,12838033597,11272192,17282629632,88080384,2357372136,1239
1788781752,nifi-0,101870285317,138460218193,0,0,0,0,17001,8913542033,12582912,18943049728,147587072,713836152,1227
1788781754,nifi-1,87417254081,117231488557,0,0,0,0,19231,10082764541,9699328,22812557312,155713536,355546368,1528
1788781756,nifi-2,69224406581,94801420930,0,0,0,0,24310,12745754632,14155776,21604335616,101187584,669859512,1283
1788781768,nifi-0,96961268600,131642671645,0,0,0,0,16347,8570642900,13107200,22371106816,65536000,380422008,1239
1788781770,nifi-1,90175082190,122165179544,0,0,0,0,21111,11068470155,8912896,23700701184,145227776,644080864,1564
1788781772,nifi-2,73937872350,101077380860,0,0,0,0,24242,12710100266,10747904,21180448768,103546880,1505417728,1319
1788781784,nifi-0,100736748986,137007886782,0,0,0,0,16728,8770404571,22020096,25100550144,75497472,1912480296,1267
1788781786,nifi-1,85778792279,116594375768,0,0,0,0,21748,11402462528,18612224,18131976192,150994944,2592335072,1564
1788781788,nifi-2,78822261454,107597144174,0,0,0,0,24256,12717441975,10223616,25769803776,111935488,2479840376,1363
1788781800,nifi-0,99358883046,136876743594,0,0,0,0,16834,8825983740,16515072,25769803776,83099648,2507604720,1313
1788781801,nifi-1,85486195869,116605859482,0,0,0,0,24663,12930835589,12582912,21952200704,173539328,2374542080,1581
1788781803,nifi-2,85849469525,117005841709,0,0,0,0,24200,12688082289,10223616,23675273216,122945536,2689580008,1400
1788781816,nifi-0,107452472668,148336987197,0,0,0,0,20357,10673139752,14680064,22251307008,93061120,2219874816,1349
1788781817,nifi-1,80957281829,110608827242,0,0,0,0,24722,12961768048,10485760,14146863104,68943872,2569577216,1581
1788781819,nifi-2,89985177133,123041670910,0,0,0,0,22827,11968193291,13893632,21111504896,127926272,1533031640,1444
1788781830,nifi-0,106020594638,146642929690,0,0,0,0,21345,11191160879,11010048,23043244032,100401152,670774616,1379
1788781831,nifi-1,74343238338,101540952319,0,0,0,0,24638,12917728051,10485760,13932429312,68943872,2636686080,1581
1788781833,nifi-2,85859955311,117857285135,0,0,0,0,23860,12509812825,12582912,25769541632,136839168,1599320760,1475
1788781845,nifi-0,104463941498,144593407337,0,0,0,0,21634,11342686533,9175040,19538378752,101711872,225230728,1395
1788781845,nifi-1,69692654070,95841677456,0,0,0,0,24640,12918774677,18350080,13639614464,82313216,335917888,1596
1788781848,nifi-2,86365400325,118310313933,0,0,0,0,22452,11771576399,11796480,21229731840,140771328,2373396648,1497
1788781860,nifi-0,106357764680,146466830334,0,0,0,0,17889,9379130876,19922944,20166737920,110362624,1898758024,1395
1788781861,nifi-1,67730718493,93240062757,0,0,0,0,24470,12829643585,10485760,13699907584,81002496,384152384,1596
1788781863,nifi-2,92634484308,126404075597,0,0,0,0,21086,11055365438,9437184,25769803776,164626432,951652512,1539
1788781875,nifi-0,103537525824,143806953601,0,0,0,0,19668,10311888628,11796480,25769803776,119013376,1632172496,1427
1788781877,nifi-1,64434505368,87837179211,0,0,0,0,19262,10099014830,12058624,16630153216,87818240,935703360,1596
1788781879,nifi-2,94174930579,127808245104,0,0,0,0,20260,10622282490,12845056,19758055424,167247872,1488097872,1564
1788781890,nifi-0,95092085134,132540634028,0,0,0,0,19668,10311888628,8912896,11395923968,119013376,2433284560,1427
1788781891,nifi-1,60121123850,81573339811,0,0,0,0,16500,8650858704,8126464,14049083392,74711040,1279636288,1596
1788781893,nifi-2,92089800348,124842783607,0,0,0,0,19150,10040293391,11796480,25769803776,78381056,2543345880,1579
1788781905,nifi-0,92203188587,128666004398,0,0,0,0,19619,10286197606,16777216,15773204480,121110528,1613622272,1441
1788781906,nifi-1,53833174989,73355855539,0,0,0,0,16541,8672354850,13369344,10126884864,76546048,1411756864,1596
1788781908,nifi-2,95915582677,130388325424,0,0,0,0,19323,10131002872,12582912,25718161408,87556096,1789699496,1609
1788781920,nifi-0,95720156821,133923696165,0,0,0,0,22859,11984973042,15990784,22775070720,129499136,2659612872,1457
1788781921,nifi-1,52301695278,71167405225,0,0,0,0,16450,8624644122,8388608,9748086784,75759616,1445311296,1596
1788781923,nifi-2,95230306671,129756509803,0,0,0,0,20540,10769088876,9699328,25769541632,89653248,2723436848,1663
1788781935,nifi-0,92621517189,130201077022,0,0,0,0,24356,12769873726,12058624,17170432000,150470656,1991613312,1494
1788781938,nifi-1,51758038821,69784874500,0,0,0,0,16386,8591090197,13369344,18417975296,84672512,2635204320,1614
