ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788781530,nifi-0,0,26040729600,0,0,0,0,1000,4096000,114556928,2334654464,2100035584,934638584,1623
1788781533,nifi-1,0,25969459200,0,0,0,0,2848,11665408,10223616,4432068608,2020605952,590306560,1455
1788781546,nifi-0,0,26148044800,0,0,0,0,1600,6553600,9961472,1485832192,2294022144,368387344,1672
1788781548,nifi-1,0,25899008000,0,0,0,0,1600,6553600,12058624,3754164224,2314731520,2382900880,1505
1788781561,nifi-0,0,28150988800,0,0,0,0,400,1638400,12320768,2357723136,2402287616,1772362120,1780
1788781565,nifi-1,0,28200960000,0,0,0,0,1864,7634944,236191744,3018850304,2376597504,1821160488,1611
1788781578,nifi-0,0,30573363200,0,0,0,0,723,2961408,24641536,3232759808,2602041344,1886511888,1885
1788781581,nifi-1,0,30751948800,0,0,0,0,1800,7372800,194248704,5619843072,2475163648,952547680,1716
1788781594,nifi-0,0,32968704000,0,0,0,0,275,1126400,190316544,2592079872,2661548032,1587556720,1931
1788781597,nifi-1,0,33334067200,0,0,0,0,994,4071424,124780544,2084044800,2700345344,269291248,1768
1788781610,nifi-0,0,35378790400,0,0,0,0,702,2875392,119799808,2036596736,2711093248,1361369184,1983
1788781612,nifi-1,0,35700736000,0,0,0,0,1200,4915200,7340032,4426825728,2876768256,457363896,1816
1788781625,nifi-0,0,37631590400,0,0,0,0,1398,5726208,55312384,1227620352,2936274944,2293088944,2024
1788781628,nifi-1,0,37923225600,0,0,0,0,800,3276800,7864320,4734582784,2945974272,1662031440,1923
1788781641,nifi-0,0,40002355200,0,0,0,0,3200,13107200,244842496,3598974976,3441688576,1573456240,2071
1788781644,nifi-1,0,40325120000,0,0,0,0,1210,4956160,203423744,3420979200,3540516864,1941116992,1967
1788781657,nifi-0,0,42505830400,0,0,0,0,1600,6553600,209453056,3199729664,3249537024,2019941104,2119
1788781659,nifi-1,0,42690150400,0,0,0,0,1400,5734400,138149888,2221408256,3187933184,1757246168,2069
1788781672,nifi-0,0,44818432000,0,0,0,0,2724,11157504,129761280,2341470208,3501457408,954545096,2166
1788781675,nifi-1,0,45172326400,0,0,0,0,2200,9011200,12320768,1609826304,3271557120,2562447296,2120
1788781688,nifi-0,0,45327155200,0,0,0,0,1549,6344704,12582912,1639186432,3550216192,2600598464,2206
1788781691,nifi-1,0,45059276800,0,0,0,0,2141,8769536,3670016,2955411456,3536322560,1993250752,2173
1788781704,nifi-0,0,45237043200,0,0,0,0,3909,16011264,3145728,1773928448,3775922176,1486565040,2326
1788781707,nifi-1,0,44983910400,0,0,0,0,1200,4915200,252182528,3271294976,3771727872,2410065680,2272
1788781720,nifi-0,0,45066649600,0,0,0,0,2373,9719808,5767168,2698248192,3754950656,1897917936,2437
1788781723,nifi-1,0,45014220800,0,0,0,0,1898,7774208,146276352,4708106240,4003725312,2383911832,2379
1788781736,nifi-0,0,45091225600,0,0,0,0,2004,8208384,156237824,2684878848,3983015936,765831520,2487
1788781738,nifi-1,0,45058457600,0,0,0,0,904,3702784,153616384,2107375616,4051697664,620285432,2430
1788781751,nifi-0,0,45155942400,0,0,0,0,985,4034560,105644032,2078539776,4112777216,2230947896,2530
1788781754,nifi-1,0,45104332800,0,0,0,0,3000,12288000,83361792,2805465088,4217634816,1958972264,2470
1788781767,nifi-0,0,45280460800,0,0,0,0,1613,6606848,8650752,1370488832,4097310720,1839293336,2575
1788781770,nifi-1,0,44978176000,0,0,0,0,1000,4096000,12058624,3433562112,4177526784,1395489000,2572
1788781783,nifi-0,0,45260800000,0,0,0,0,1400,5734400,11010048,2808348672,4265869312,1932273496,2622
1788781786,nifi-1,0,45037977600,0,0,0,0,1760,7208960,236453888,4843896832,4269277184,2670454224,2619
1788781799,nifi-0,0,45225574400,0,0,0,0,3560,14581760,24379392,3240361984,4515430400,2371813600,2731
1788781802,nifi-1,0,45288652800,0,0,0,0,1000,4096000,99876864,3652714496,4528537600,1058523288,2730
1788781814,nifi-0,0,45460684800,0,0,0,0,800,3276800,184287232,2599157760,4701028352,2004196384,2777
1788781817,nifi-1,0,45376307200,0,0,0,0,2000,8192000,99614720,2536243200,4608491520,2379995232,2776
1788781830,nifi-0,0,45126451200,0,0,0,0,1710,7004160,114819072,1728053248,4907073536,2489777208,2822
1788781832,nifi-1,0,45225574400,0,0,0,0,810,3317760,6815744,4411883520,4693426176,1540730544,2820
1788781845,nifi-0,0,45237862400,0,0,0,0,400,1638400,7077888,1296564224,4875878400,2081758456,2869
1788781848,nifi-1,0,45273088000,0,0,0,0,2899,11874304,9437184,3325296640,4937220096,502362432,2922
1788781861,nifi-0,0,45082214400,0,0,0,0,1526,6250496,10747904,3381657600,5032640512,924694464,2917
1788781864,nifi-1,0,45355008000,0,0,0,0,1867,7647232,117964800,2782658560,5068816384,995140104,3033
1788781876,nifi-0,0,44921651200,0,0,0,0,1357,5558272,126877696,2602827776,5407244288,1724099624,2958
1788781878,nifi-1,0,45078118400,0,0,0,0,1964,8044544,120324096,1807220736,5266210816,1143423664,3072
1788781891,nifi-0,0,45289472000,0,0,0,0,1200,4915200,140247040,2119434240,5382864896,687788176,3067
1788781893,nifi-1,0,44933120000,0,0,0,0,1523,6238208,13893632,4034396160,5452070912,1796010616,3118
1788781906,nifi-0,0,45269811200,0,0,0,0,838,3432448,13369344,1172570112,5547753472,1580273808,3116
1788781909,nifi-1,0,45061734400,0,0,0,0,600,2457600,14680064,3719561216,5435817984,2050601416,3171
1788781922,nifi-0,0,45239500800,0,0,0,0,1046,4284416,14417920,3170631680,5594152960,1124013432,3164
1788781925,nifi-1,0,45115801600,0,0,0,0,702,2875392,138412032,6037176320,5540937728,2329353344,3236
