ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788781858,nifi-1,0,236894289920,0,0,0,0,0,0,524288,16153051136,2883584,878974032,2596
1788781868,nifi-0,0,232397996032,0,0,0,0,1,67108864,524288,16161439744,2883584,751967536,2179
1788781869,nifi-1,0,236156092416,0,0,0,0,0,0,786432,9894363136,3145728,808406792,2635
1788781880,nifi-0,0,231928233984,0,0,0,0,0,0,524288,10013638656,3145728,469159920,2220
1788781881,nifi-1,0,236424527872,0,0,0,0,0,0,786432,19163512832,3145728,596783760,2681
1788781892,nifi-0,0,231995342848,0,0,0,0,0,0,524288,19734724608,3670016,821903840,2259
1788781893,nifi-1,0,237162725376,0,0,0,0,0,0,524288,13785104384,3407872,524006752,2725
1788781904,nifi-0,0,231794016256,0,0,0,0,0,0,524288,13555728384,3670016,832843056,2299
1788781905,nifi-1,0,236894289920,0,0,0,0,0,0,524288,16456613888,3670016,807413288,2768
1788781916,nifi-0,0,232263778304,0,0,0,0,1,67108864,786432,17761304576,3932160,893829984,2338
1788781918,nifi-1,0,237632487424,0,0,0,0,0,0,524288,15780806656,3932160,669225008,2819
1788781928,nifi-0,0,232465104896,0,0,0,0,0,0,786432,16945250304,5242880,967761640,2373
1788781930,nifi-1,0,238437793792,0,0,0,0,0,0,786432,9124184064,3670016,669992224,2865
1788781940,nifi-0,0,231995342848,0,0,0,0,1,67108864,524288,10768351232,5242880,544544016,2411
1788781942,nifi-1,0,238974664704,0,0,0,0,0,0,524288,17974427648,3932160,521297832,2911
1788781953,nifi-0,0,231525580800,0,0,0,0,0,0,524288,20664811520,5767168,477785296,2452
1788781954,nifi-1,0,240182624256,0,0,0,0,0,0,524288,12347244544,4194304,527935488,2966
1788781965,nifi-0,0,233069084672,0,0,0,0,0,0,524288,14689501184,4718592,897486688,2490
1788781966,nifi-1,0,240249733120,0,0,0,0,0,0,524288,21723348992,4456448,813435664,3011
1788781977,nifi-0,0,233538846720,0,0,0,0,0,0,524288,7721975808,4194304,1038520976,2526
1788781978,nifi-1,0,240920821760,0,0,0,0,0,0,786432,15103688704,4456448,604181392,3053
1788781989,nifi-0,0,233471737856,0,0,0,0,0,0,786432,17424449536,4456448,546251096,2564
1788781990,nifi-1,0,241122148352,0,0,0,0,1,67108864,262144,8760066048,4456448,883588360,3098
1788782001,nifi-0,0,234612588544,0,0,0,0,0,0,524288,11960320000,4718592,479488312,2604
1788782002,nifi-1,0,242330107904,0,0,0,0,0,0,524288,18789957632,4718592,814569144,3141
1788782013,nifi-0,0,235149459456,0,0,0,0,0,0,524288,20697317376,4980736,546771512,2646
1788782014,nifi-1,0,242934087680,0,0,0,0,0,0,524288,12419334144,4718592,810848448,3195
1788782025,nifi-0,0,235015241728,0,0,0,0,0,0,524288,14339538944,5242880,616486768,2688
1788782026,nifi-1,0,243001196544,0,0,0,0,0,0,786432,22138585088,5242880,528199744,3235
1788782036,nifi-0,0,235552112640,0,0,0,0,0,0,786432,8725987328,5242880,545611856,2725
1788782037,nifi-1,0,242934087680,0,0,0,0,0,0,524288,15656550400,5505024,1025367832,3276
1788782048,nifi-0,0,235149459456,0,0,0,0,0,0,786432,17124032512,4980736,336405920,2761
1788782049,nifi-1,0,243202523136,0,0,0,0,0,0,524288,12574785536,5767168,600621936,3319
1788782060,nifi-0,0,236021874688,0,0,0,0,0,0,786432,9314762752,5242880,835594296,2801
1788782062,nifi-1,0,244276264960,0,0,0,0,0,0,524288,18554814464,5767168,605004784,3361
1788782073,nifi-0,0,238370684928,0,0,0,0,0,0,524288,20237516800,5505024,691361376,2843
1788782074,nifi-1,0,244544700416,0,0,0,0,0,0,524288,12340690944,5767168,955374728,3410
1788782085,nifi-0,0,238303576064,0,0,0,0,0,0,524288,12779520000,5505024,691854664,2881
1788782086,nifi-1,0,244209156096,0,0,0,0,0,0,524288,22218539008,6029312,746417224,3455
1788782097,nifi-0,0,238504902656,0,0,0,0,0,0,524288,22590783488,5767168,547325240,2923
1788782098,nifi-1,0,244544700416,0,0,0,0,0,0,786432,16484663296,6291456,604019472,3512
1788782109,nifi-0,0,238236467200,0,0,0,0,0,0,786432,16283598848,6029312,483063832,2960
1788782110,nifi-1,0,244544700416,0,0,0,0,0,0,786432,11144790016,6553600,887625704,3556
1788782121,nifi-0,0,238303576064,0,0,0,0,0,0,786432,10027794432,6291456,621645192,3004
1788782122,nifi-1,0,244209156096,0,0,0,0,0,0,524288,19325255680,6291456,531524824,3602
1788782133,nifi-0,0,238773338112,0,0,0,0,0,0,786432,19991625728,6553600,483373184,3041
1788782134,nifi-1,0,244477591552,0,0,0,0,0,0,524288,12355108864,6553600,816972848,3659
1788782145,nifi-0,0,238370684928,0,0,0,0,0,0,524288,13622837248,6815744,477778008,3082
1788782147,nifi-1,0,243940720640,0,0,0,0,0,0,524288,6558318592,6815744,675202824,3711
1788782157,nifi-0,0,239175991296,0,0,0,0,0,0,524288,8175222784,7077888,480172672,3123
1788782159,nifi-1,0,243135414272,0,0,0,0,0,0,524288,15775563776,6815744,817952112,3751
1788782169,nifi-0,0,239310209024,0,0,0,0,0,0,524288,17409245184,7864320,480607832,3168
1788782171,nifi-1,0,243269632000,0,0,0,0,0,0,786432,10689708032,7340032,814310632,3803
1788782182,nifi-0,0,239578644480,0,0,0,0,0,0,786432,11750604800,8126464,906545760,3204
1788782183,nifi-1,0,243403849728,0,0,0,0,0,0,786432,19974586368,6815744,680538368,3854
1788782194,nifi-0,0,239914188800,0,0,0,0,0,0,786432,21105475584,8388608,479189800,3241
1788782195,nifi-1,0,243403849728,0,0,0,0,0,0,524288,14079754240,7340032,752055976,3901
1788782206,nifi-0,0,239779971072,0,0,0,0,0,0,786432,14734327808,7602176,834092560,3277
1788782207,nifi-1,0,243605176320,0,0,0,0,0,0,524288,7721451520,7340032,528215864,3944
1788782217,nifi-0,0,239578644480,0,0,0,0,0,0,524288,8185970688,7864320,553517240,3316
1788782218,nifi-1,0,243336740864,0,0,0,0,0,0,524288,17063215104,7340032,746711096,3990
1788782229,nifi-0,0,238706229248,0,0,0,0,0,0,524288,16472342528,8126464,696606040,3353
1788782231,nifi-1,0,243202523136,0,0,0,0,0,0,524288,10325852160,7864320,606926528,4035
1788782241,nifi-0,0,239444426752,0,0,0,0,0,0,524288,11247026176,8388608,482836800,3405
1788782243,nifi-1,0,243068305408,0,0,0,0,0,0,786432,15471738880,7864320,525261904,4078
1788782253,nifi-0,0,239712862208,0,0,0,0,0,0,786432,21318598656,8388608,481236640,3450
1788782254,nifi-1,0,242598543360,0,0,0,0,0,0,786432,13718519808,8126464,890317816,4120
1788782265,nifi-0,0,239243100160,0,0,0,0,0,0,786432,14716764160,8650752,838173552,3498
1788782267,nifi-1,0,242799869952,0,0,0,0,0,0,524288,23293067264,8388608,819764200,4164
1788782278,nifi-0,0,239108882432,0,0,0,0,0,0,786432,10062397440,8912896,907585560,3541
1788782279,nifi-1,0,242799869952,0,0,0,0,0,0,524288,17931173888,8650752,610298896,4208
1788782289,nifi-0,0,238773338112,0,0,0,0,0,0,786432,17385652224,8650752,840835504,3583
1788782291,nifi-1,0,242866978816,0,0,0,0,0,0,524288,23500161024,8912896,678158256,4252
1788782302,nifi-0,0,238773338112,0,0,0,0,0,0,524288,11752964096,8912896,558429320,3625
1788782303,nifi-1,0,242866978816,0,0,0,0,0,0,524288,15999172608,8650752,609121656,4302
1788782314,nifi-0,0,238639120384,0,0,0,0,2,134217728,524288,20722221056,8912896,481007832,3665
1788782315,nifi-1,0,242397216768,0,0,0,0,0,0,786432,14642053120,8912896,829502176,4344
1788782326,nifi-0,0,238370684928,0,0,0,0,0,0,786432,12772179968,9175040,911371416,3703
1788782327,nifi-1,0,242128781312,0,0,0,0,0,0,262144,23731372032,8912896,962108944,4388
1788782338,nifi-0,0,238035140608,0,0,0,0,0,0,786432,18238406656,9437184,473516600,3747
1788782339,nifi-1,0,241390583808,0,0,0,0,0,0,524288,15812001792,8912896,893323640,4442
1788782350,nifi-0,0,238504902656,0,0,0,0,0,0,786432,18064605184,9699328,557817296,3788
1788782352,nifi-1,0,241591910400,0,0,0,0,1,67108864,524288,9874702336,9175040,539472488,4500
1788782363,nifi-0,0,238035140608,0,0,0,0,0,0,524288,27244363776,9961472,556245448,3827
1788782364,nifi-1,0,241726128128,0,0,0,0,0,0,524288,17561812992,9437184,686698624,4553
1788782375,nifi-0,0,237028507648,0,0,0,0,0,0,524288,7114588160,9961472,564793560,3872
1788782377,nifi-1,0,242195890176,0,0,0,0,0,0,524288,13976731648,9699328,686919680,4600
1788782388,nifi-0,0,237296943104,0,0,0,0,0,0,524288,15053619200,3932160,768753368,3916
1788782389,nifi-1,0,241994563584,0,0,0,0,0,0,786432,8375238656,4194304,611990824,4650
1788782399,nifi-0,0,237296943104,0,0,0,0,0,0,524288,9445572608,3932160,479774984,3967
1788782400,nifi-1,0,241726128128,0,0,0,0,0,0,786432,17389060096,4194304,543216336,4694
1788782411,nifi-0,0,237431160832,0,0,0,0,0,0,786432,18271961088,4718592,499189856,4006
