ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788781530,nifi-0,0,24775065600,0,0,0,0,3155,12922880,14417920,1862533120,1828978688,283929248,1849
1788781533,nifi-1,0,25517260800,0,0,0,0,1400,5734400,122683392,1676935168,2063073280,2032301648,1398
1788781545,nifi-0,0,24696422400,0,0,0,0,800,3276800,15466496,1196163072,2089811968,2424525184,1955
1788781548,nifi-1,0,25785958400,0,0,0,0,1200,4915200,258473984,4138467328,2725773312,1807781496,1484
1788781561,nifi-0,0,25830195200,0,0,0,0,595,2437120,2883584,2121793536,2157969408,2713676360,2009
1788781564,nifi-1,0,27518566400,0,0,0,0,400,1638400,269746176,3605004288,2560884736,1912384128,1575
1788781577,nifi-0,0,28219801600,0,0,0,0,1000,4096000,236716032,2979266560,2339635200,2242655800,2065
1788781579,nifi-1,0,29749248000,0,0,0,0,2739,11218944,135790592,2681208832,2533621760,2639857680,1617
1788781592,nifi-0,0,30286643200,0,0,0,0,930,3809280,3670016,2163998720,2319450112,1691564680,2124
1788781594,nifi-1,0,32101171200,0,0,0,0,1600,6553600,147324928,2252603392,2701393920,1613402160,1662
1788781607,nifi-0,0,32390348800,0,0,0,0,1400,5734400,4718592,1445462016,2593390592,1326883720,2228
1788781610,nifi-1,0,34309734400,0,0,0,0,1281,5246976,22020096,4431282176,3053715456,1960997184,1711
1788781623,nifi-0,0,34458828800,0,0,0,0,2662,10903552,228851712,954204160,2664169472,1122248904,2346
1788781626,nifi-1,0,36722278400,0,0,0,0,1383,5664768,276299776,3839361024,2943352832,1754854968,1816
1788781638,nifi-0,0,36489625600,0,0,0,0,4718,19324928,218103808,2801532928,3131834368,321460088,2405
1788781642,nifi-1,0,38876774400,0,0,0,0,2766,11329536,123994112,2856321024,3077046272,2031711592,1856
1788781654,nifi-0,0,38563020800,0,0,0,0,798,3268608,126353408,2261254144,3021471744,2579091688,2447
1788781657,nifi-1,0,41237708800,0,0,0,0,2200,9011200,153878528,5062262784,3576692736,1278866288,1963
1788781670,nifi-0,0,40707686400,0,0,0,0,2000,8192000,134217728,1692139520,3114008576,230863544,2497
1788781672,nifi-1,0,43637964800,0,0,0,0,1600,6553600,41943040,4840751104,3988258816,1005429648,2062
1788781685,nifi-0,0,41761996800,0,0,0,0,1200,4915200,230686720,1051983872,3100377088,2595013312,2546
1788781688,nifi-1,0,44546457600,0,0,0,0,1631,6680576,283115520,4025745408,3448766464,917740528,2111
1788781700,nifi-0,0,41635020800,0,0,0,0,2619,10727424,240386048,3016228864,3330277376,341208752,2641
1788781703,nifi-1,0,44557107200,0,0,0,0,1400,5734400,115867648,5906366464,3754426368,1844742256,2151
1788781716,nifi-0,0,41834905600,0,0,0,0,2096,8585216,133169152,2474377216,3408396288,292704248,2691
1788781719,nifi-1,0,44780748800,0,0,0,0,2564,10502144,141295616,2673606656,3810000896,1980868744,2197
1788781732,nifi-0,0,41888153600,0,0,0,0,2951,12087296,144179200,1824522240,3666870272,2646989200,2737
1788781735,nifi-1,0,44822528000,0,0,0,0,800,3276800,85458944,4905500672,4148690944,2665150024,2322
1788781747,nifi-0,0,41860300800,0,0,0,0,1000,4096000,235929600,1378877440,3770679296,2258087344,2853
1788781750,nifi-1,0,45101056000,0,0,0,0,800,3276800,6029312,4264558592,4129816576,873634224,2375
1788781763,nifi-0,0,42002841600,0,0,0,0,999,4091904,250609664,2362966016,3901489152,1084975552,2901
1788781766,nifi-1,0,45075660800,0,0,0,0,2768,11337728,255852544,3718512640,4312268800,2535836928,2423
1788781779,nifi-0,0,41820979200,0,0,0,0,1960,8028160,152305664,2835349504,3875799040,1659247328,3003
1788781781,nifi-1,0,44833996800,0,0,0,0,1983,8122368,139460608,2584215552,4283695104,1028517888,2468
1788781794,nifi-0,0,41855385600,0,0,0,0,2481,10162176,159645696,2223767552,4285792256,2004969384,3059
